'MATPRO','NOMPRO','VENAVI','VENPRA','DATCAD','DATEXP','INATIV'
'CX-36PCS','BRINQ. CARRO CONT REM. REF:666-210-227-AB','54,99','54,99','12/12/2010 21:43:30','07/02/2013 01:15:08','N'
'CX-18PCS','BRIN. CARRO CONT REM. REF:666-261-269-ABC','79,27','79,27','12/12/2010 21:46:16','07/02/2013 01:15:08','N'
'CX-18PCS','BRIN. CARRO CONT REM. REF:666-183-196-AB','68,01','68,01','12/12/2010 21:47:58','07/02/2013 01:15:08','N'
'CX-12PCS','BRINQ. CARRO CONT REM. REF:666-251/2/4/6','134,35','134,35','12/12/2010 21:49:32','07/02/2013 01:15:08','N'
'CX-12PCS','BRINQ. CARRO CONT REM. REF:666-153/154','108,41','108,41','12/12/2010 21:52:42','07/02/2013 01:15:08','N'
'CX-12PCS','BRINQ. CARROCONT REM. REF:666-105-148/AB','105,17','105,17','12/12/2010 21:54:37','07/02/2013 01:15:08','N'
'CX-24PCS','BRINQUEDO CARRO CONT REM. REF:333-737B,,755/A','68,01','68,01','12/12/2010 21:56:50','07/02/2013 01:15:08','N'
'CX-36PCS','BRINQUEDO CARRO CONT REM. REF:333-710B-722/AB','61,5','61,5','12/12/2010 21:58:28','07/02/2013 01:15:08','N'
'CX-16PCS','BRINQUEDO CARRO CONT REM. REF:333-702B/4B/5B/','106,85','106,85','12/12/2010 22:00:50','07/02/2013 01:15:08','N'
'CX-9PCS','BRIN. CARRO CONT REM. REF:333-562BC/564BC','135,83','135,83','12/12/2010 22:02:54','07/02/2013 01:15:08','N'
'CX-12PCS','BRINQUEDO CARRO CONT REM. REF:333-783B/5B/7B/ C','80,84','80,84','12/12/2010 22:07:54','07/02/2013 01:15:08','N'
'CX-9PCS','BRINQUEDO CARRO CONT REM. REF:333-500B/504B/5','131,08','131,08','12/12/2010 22:09:36','07/02/2013 01:15:08','N'
'CX-12PCS','BRINQUEDO HELIC.CONT.REM. REF:735-75B','187,67','187,67','12/12/2010 22:11:22','07/02/2013 01:15:08','N'
'CX-24PCS','BRINQUEDO HELIC.CONT.REM. REF:735-80A','127,84','127,84','12/12/2010 22:12:36','07/02/2013 01:15:08','N'
'CX-10PCS','PECAS REP. HELICES REF:735-75B-HEL CX-10PCS',0,0,'12/12/2010 22:14:39','07/02/2013 01:15:08','N'
'CX-10PCS','PECAS REP. HELICES REF:735-75B HEL CX-10PCS',4,4,'12/12/2010 22:15:27','07/02/2013 01:15:08','N'
